year,month,zipcode,median_value,total_listed
2017,03,85009,145050,67
2017,03,85012,414300,77
2017,03,85013,319950,124
2017,03,85014,332300,124
2017,03,85015,211300,109
2017,03,85016,492425,344
2017,03,85017,151462.5,58
2017,03,85018,727050,443
2017,03,85019,169725,46
2017,03,85020,320050,196
2017,03,85021,424800,146
2017,03,85022,291512.5,179
2017,03,85023,25e4,104
2017,03,85024,281750,87
2017,03,85027,209950,90
2017,03,85028,385025,110
2017,03,85029,189500,103
2017,03,85031,155600,48
2017,03,85032,257375,213
2017,03,85033,159998,129
2017,03,85035,159475,92
2017,03,85037,175050,100
2017,03,85040,160500,48
2017,03,85041,212500,175
2017,03,85042,268750,166
2017,03,85043,185050,64
2017,03,85044,315549.5,149
2017,03,85045,4e5,71
2017,03,85048,392050,208
2017,03,85050,377550,174
2017,03,85051,182050,109
2017,03,85053,218750,66
2017,03,85054,340122.5,76
2017,03,85083,382050,110
2017,03,85085,425e3,166
2017,03,85086,379525,386
2017,03,85087,384550,76
2017,02,85003,476149.5,88
2017,02,85004,322244.25,57
2017,02,85006,275050,62
2017,02,85007,364400,71
2017,02,85008,237525,91
2017,02,85009,142250,77
2017,02,85012,399725,74
2017,02,85013,313724.75,136
2017,02,85014,324050,117
2017,02,85015,222025,109
2017,02,85016,423550,344
2017,02,85017,150800,63
2017,02,85018,721225,434
2017,02,85019,164550,48
2017,02,85020,286525,199
2017,02,85021,425050,142
2017,02,85022,291681.25,178
2017,02,85023,250025,88
2017,02,85024,283800,90
2017,02,85027,204800,84
2017,02,85028,387950,110
2017,02,85029,193125,106
2017,02,85031,151925,54
2017,02,85032,259250,196
2017,02,85033,158550,133
2017,02,85035,157500,98
2017,02,85037,171300,100
2017,02,85040,169950,51
2017,02,85041,205890,178
2017,02,85042,266750,161
2017,02,85043,188050,75
2017,02,85044,309500,164
2017,02,85045,400150,66
2017,02,85048,370950,194
2017,02,85050,360045,169
2017,02,85051,182525,89
2017,02,85053,218175,66
2017,02,85054,327250,75
2017,02,85083,395050,107
2017,02,85085,422450,163
2017,02,85086,379725,354
2017,02,85087,379800,79
2017,01,85003,476374.5,79
2017,01,85004,325050,49
2017,01,85006,269500,64
2017,01,85007,362525,60
2017,01,85008,237450,93
2017,01,85009,145550,58
2017,01,85012,399050,67
2017,01,85013,296550,125
2017,01,85014,296300,110
2017,01,85015,217500,101
2017,01,85016,428550,333
2017,01,85017,149050,67
2017,01,85018,699050,370
2017,01,85019,164700,47
2017,01,85020,29e4,189
2017,01,85021,435050,130
2017,01,85022,292912.5,163
2017,01,85023,279050,78
2017,01,85024,288350,94
2017,01,85027,203750,82
2017,01,85028,389450,103
2017,01,85029,194050,97
2017,01,85031,149050,64
2017,01,85032,249950,196
2017,01,85033,153050,130
2017,01,85035,154950,84
2017,01,85037,173950,99
2017,01,85040,165050,54
2017,01,85041,201947.5,167
2017,01,85042,259050,140
2017,01,85043,185050,70
2017,01,85044,299050,149
2017,01,85045,379950,57
2017,01,85048,374500,166
2017,01,85050,360047,161
2017,01,85051,174950,87
2017,01,85053,21e4,69
2017,01,85054,349050,69
2017,01,85083,384950,95
2017,01,85085,393982,149
2017,01,85086,374900,336
2017,01,85087,38e4,85
2016,12,85003,444997.5,84
2016,12,85004,335725,51
2016,12,85006,261296.25,69
2016,12,85007,368587.5,62
2016,12,85008,233400,96
2016,12,85009,137275,55
2016,12,85012,404500,67
2016,12,85013,29e4,115
2016,12,85014,293800,121
2016,12,85015,213700,93
2016,12,85016,429050,330
2016,12,85017,145050,71
2016,12,85018,675050,377
2016,12,85019,16e4,50
2016,12,85020,293050,188
2016,12,85021,414425,138
2016,12,85022,299050,165
2016,12,85023,26e4,82
2016,12,85024,286975,83
2016,12,85027,203950,77
2016,12,85028,387025,108
2016,12,85029,191925,105
2016,12,85031,145e3,74
2016,12,85032,245549.5,222
2016,12,85033,155049.75,115
2016,12,85035,151674,82
2016,12,85037,173150,98
2016,12,85040,159999.75,59
2016,12,85041,207649.75,160
2016,12,85042,252500,142
2016,12,85043,19e4,74
2016,12,85044,275050,142
2016,12,85045,399050,60
2016,12,85048,375050,159
2016,12,85050,374900,155
2016,12,85051,17e4,92
2016,12,85053,210047.5,81
2016,12,85054,351025,71
2016,12,85083,371550,109
2016,12,85085,394249,142
2016,12,85086,378800,344
2016,12,85087,388275,85
2016,11,85003,432475,90
2016,11,85004,325050,57
2016,11,85006,271247.5,79
2016,11,85007,370841.5,66
2016,11,85008,229350,109
2016,11,85009,134400,63
2016,11,85012,437500,67
2016,11,85013,292050,116
2016,11,85014,286300,120
2016,11,85015,209950,97
2016,11,85016,425050,319
2016,11,85017,145050,70
2016,11,85018,676500,400
2016,11,85019,156050,46
2016,11,85020,289500,205
2016,11,85021,419425,145
2016,11,85022,300050,183
2016,11,85023,253272.5,87
2016,11,85024,282450,95
2016,11,85027,199050,85
2016,11,85028,369e3,115
2016,11,85029,185050,113
2016,11,85031,147500,69
2016,11,85032,249500,258
2016,11,85033,151550,132
2016,11,85035,154747.5,83
2016,11,85037,174750,107
2016,11,85040,157650,58
2016,11,85041,206425,180
2016,11,85042,230050,157
2016,11,85043,185800,81
2016,11,85044,293050,163
2016,11,85045,403e3,67
2016,11,85048,374475,172
2016,11,85050,374950,178
2016,11,85051,170050,98
2016,11,85053,215525,86
2016,11,85054,359275,78
2016,11,85083,377300,119
2016,11,85085,402550,162
2016,11,85086,379725,361
2016,11,85087,385300,89
2016,10,85003,454950,90
2016,10,85004,270550,64
2016,10,85006,289500,77
2016,10,85007,360917.5,66
2016,10,85008,229550,90
2016,10,85009,139950,55
2016,10,85012,519050,66
2016,10,85013,295050,131
2016,10,85014,275050,107
2016,10,85015,209950,103
2016,10,85016,407550,305
2016,10,85017,144950,57
2016,10,85018,678550,385
2016,10,85019,156950,37
2016,10,85020,300050,214
2016,10,85021,434999.5,148
2016,10,85022,317550,186
2016,10,85023,250050,91
2016,10,85024,287050,95
2016,10,85027,204950,90
2016,10,85028,369950,122
2016,10,85029,185030,99
2016,10,85031,145050,55
2016,10,85032,239750,274
2016,10,85033,155049.5,122
2016,10,85035,157999.5,80
2016,10,85037,172050,109
2016,10,85040,162050,47
2016,10,85041,209950,185
2016,10,85042,235050,155
2016,10,85043,185950,78
2016,10,85044,296050,166
2016,10,85045,379050,70
2016,10,85048,382500,203
2016,10,85050,374950,186
2016,10,85051,169050,90
2016,10,85053,212547.5,92
2016,10,85054,349950,74
2016,10,85083,359050,117
2016,10,85085,407040,175
2016,10,85086,375045,367
2016,10,85087,399e3,78
2016,09,85003,465795.75,89
2016,09,85004,276550,66
2016,09,85006,285775,63
2016,09,85007,353775,68
2016,09,85008,224950,96
2016,09,85009,139749.75,52
2016,09,85012,522050,65
2016,09,85013,306550,135
2016,09,85014,282050,107
2016,09,85015,199950,94
2016,09,85016,382549.75,281
2016,09,85017,142495,56
2016,09,85018,675050,375
2016,09,85019,158077.75,39
2016,09,85020,282250,213
2016,09,85021,430050,155
2016,09,85022,323300,181
2016,09,85023,259495,85
2016,09,85024,282450,96
2016,09,85027,192675,97
2016,09,85028,368925,128
2016,09,85029,183500,92
2016,09,85031,145050,52
2016,09,85032,244975,257
2016,09,85033,155046.75,99
2016,09,85035,155666,79
2016,09,85037,170525,118
2016,09,85040,16e4,46
2016,09,85041,216247.5,156
2016,09,85042,240500,162
2016,09,85043,180047.5,82
2016,09,85044,308750,174
2016,09,85045,372750,75
2016,09,85048,379950,233
2016,09,85050,389650,187
2016,09,85051,159500,96
2016,09,85053,209972.5,89
2016,09,85054,359050,71
2016,09,85083,340024.25,118
2016,09,85085,394446.25,174
2016,09,85086,365050,363
2016,09,85087,396700,78
2016,08,85003,434550,92
2016,08,85004,282500,66
2016,08,85006,278775,50
2016,08,85007,355692.5,59
2016,08,85008,226225,98
2016,08,85009,135800,55
2016,08,85012,539275,61
2016,08,85013,301300,134
2016,08,85014,286250,109
2016,08,85015,199725,98
2016,08,85016,370025,283
2016,08,85017,142519.75,48
2016,08,85018,655050,382
2016,08,85019,159275,32
2016,08,85020,264175,206
2016,08,85021,399900,161
2016,08,85022,299500,187
2016,08,85023,268050,92
2016,08,85024,285050,92
2016,08,85027,191775,94
2016,08,85028,369050,121
2016,08,85029,185050,114
2016,08,85031,147775,50
2016,08,85032,247475,259
2016,08,85033,154049.75,75
2016,08,85035,153450.75,71
2016,08,85037,170425,104
2016,08,85040,138350,42
2016,08,85041,217025,160
2016,08,85042,235050,147
2016,08,85043,178525,70
2016,08,85044,308525,179
2016,08,85045,372450,71
2016,08,85048,375050,234
2016,08,85050,401783.5,166
2016,08,85051,163800,79
2016,08,85053,208050,93
2016,08,85054,359344,80
2016,08,85083,344499.5,122
2016,08,85085,382450,162
2016,08,85086,362475,359
2016,08,85087,394e3,82
2016,07,85003,455e3,98
2016,07,85004,315050,63
2016,07,85006,269950,66
2016,07,85007,329050,52
2016,07,85008,229400,97
2016,07,85009,134200,60
2016,07,85012,575050,56
2016,07,85013,300049,140
2016,07,85014,275050,112
2016,07,85015,189500,99
2016,07,85016,379050,281
2016,07,85017,139750,46
2016,07,85018,632550,407
2016,07,85019,157e3,41
2016,07,85020,289950,203
2016,07,85021,412500,152
2016,07,85022,303140,184
2016,07,85023,266050,89
2016,07,85024,290050,99
